formula,mpids,is_stable,theoretical,band_gap,formation_energy_per_atom,Value,DOI,compound_type,Category_count
KCu4AsS4,mp-557728,False,False,1.2885,-0.5704321959749991,1.9,10.1021/ic302027b,Arsenides,2
K4Mg(WO4)3,mp-1194610,False,False,4.6083,-2.344874842449999,4.405,10.1039/c5dt00332f,Oxides,1
CsCdInTe3,mp-1195350,True,False,1.2066,-0.849440639803639,1.81,10.1039/c4ra13426e,Chalcogenides,1
K4Nb2S11,mp-15148,False,False,1.4656,-1.216252606852939,1.96,10.1002/1521-3749(200010)626:10<2153::AID-ZAAC2153>3.0.CO;2-X,Chalcogenides,1
Sr5Nb4O15,mp-761057,True,True,2.8004,-3.298532114583332,4.0,10.1039/b818922f,Oxides,1
FeWO4,mp-19421,True,False,2.401,-2.022696756666667,2.495,10.1016/j.jece.2020.104044,Oxides,1
InSb2S4Br,mp-559864,True,False,1.5308000000000002,-0.734209616458331,1.8,10.1016/j.jallcom.2006.10.056,Antimonides,3
K2Bi8Se13,mp-28800,True,False,0.8361000000000001,-0.791708378476904,0.53,10.1002/adma.200304994,Chalcogenides,1
Li4Ti5O12,mp-685194,False,True,2.7202,-3.203121053333332,2.0,10.1039/c2ee22734g,Oxides,1
Tl2O,mp-27484,True,False,0.5717000000000001,-0.8140924155555621,1.0,10.1039/c8tc06601a,Oxides,1
Ba2LaV3O11,mp-1214937,False,True,3.5103,-3.015995105882353,3.35,10.1039/c5cp04115e,Oxides,1
K2Te,mp-1747,True,False,2.141,-1.222004715833333,1.9,10.1021/jacs.5b03986,Chalcogenides,1
TiCoSb,mp-5967,True,False,1.043199999999999,-0.658718782222221,1.0,10.1039/c4mh00142g,Antimonides,1
Ba3AlAs3,mp-1192376,True,False,0.6837999999999991,-1.04244424357143,0.57,10.1016/j.jallcom.2015.10.283,Arsenides,1
Ba2ZnSe3,mp-1190528,False,False,1.6214,-1.834850999505208,2.6,10.1016/j.jes.2014.06.051,Chalcogenides,1
ZnPS3,mp-3342,False,False,1.98,-0.497086328813341,2.6,10.1039/c6ra14101c,Chalcogenides,1
Ba3MgTa2O9,mp-6325,True,False,3.2733,-3.413043947644446,4.28,10.1016/j.jssc.2007.12.007,Oxides,1
InTeI,mp-29234,True,False,1.7076,-0.695439618611109,2.735,10.1039/c9nr10619g,Halides,2
Zn(NO3)2,mp-772617,True,True,3.4277,-0.9987428158333332,3.75,10.1016/j.tsf.2015.10.047,Oxides,1
TiNCl,mp-27850,True,False,0.5636999999999991,-1.772338020972223,2.5,10.1039/c2jm16225c,Halides,1
K3Bi2I9,mp-1120792,False,True,2.5425,-1.136715078339285,2.1,10.1016/j.scriptamat.2019.03.009,Halides,1
YZnAsO,mp-546011,True,False,1.2015,-1.966997731874999,1.1731,10.1007/s11771-011-0793-4,Arsenides,2
InPS4,mp-20790,True,False,2.3185,-0.483963878204363,3.12,10.7567/JJAPS.39S1.279,Chalcogenides,1
GdTaO4,mp-4875,True,False,3.3217,-3.6930033878888873,0.8,10.1016/j.optmat.2018.01.003,Oxides,1
UO3,mp-375,True,False,1.634999999999999,-3.612179313749998,4.0,10.1038/s41598-018-32903-3,Oxides,1
CsBaPS4,mp-1192526,True,False,2.3742,-1.491133315614003,3.4,10.1039/c4ta04757e,Chalcogenides,1
FePS3,mp-2931287,False,True,0.5063999999999991,-0.556488057928569,3.14,10.1039/c9nr04348a,Chalcogenides,1
BrCl,mp-1066781,True,False,1.783,-0.359564575,2.94,10.1007/s11164-020-04082-2,Halides,1
BaReH9,mp-28911,True,False,3.8349,-0.418383138522722,3.44,10.1016/S0925-8388(99)00549-6,Hydrides,1
Na2Si2O5,mp-3193,True,False,4.4712,-2.902866989473182,4.22,10.1039/c5ta04474j,Silicides,2
Tl2TeI6,mp-31077,True,False,1.684399999999999,-0.641614162037035,1.5,10.1039/c9nj03660a,Halides,2
V4O7,mp-555597,False,False,0.5857,-2.490850337272725,0.8,10.1021/jacs.5b03986,Oxides,1
Li3AlN2,mp-13944,True,False,3.162099999999999,-1.045083798333333,4.4,10.1016/j.physb.2010.02.033,Nitrides,1
Ba2In2S5,mp-22841,True,False,1.8678999999999992,-1.581863708287033,2.47,10.1039/c9tc06999b,Chalcogenides,1
SrTa4O11,mp-541462,True,False,3.5232,-3.431262843708332,4.0,10.1039/c8cy00283e,Oxides,1
SrTiO3,mp-4651,True,True,1.848799999999999,-3.551662291666667,3.2,10.1016/j.cej.2013.03.030,Oxides,1
LaBWO6,mp-1211317,False,True,3.8287,-2.909348835462962,4.1,10.1016/j.optmat.2014.03.031,Oxides,1
Ag2SO4,mp-5625,True,False,1.2289,-1.25647538940476,3.8,10.1007/s11051-016-3726-1,Chalcogenides,2
Zn2In2O5,mp-1094040,False,True,0.571299999999999,-1.821166763703704,2.9,10.1016/S0040-6090(99)01098-6,Oxides,1
SnCl2,mp-29179,True,False,3.1002,-1.055039141666666,2.9,10.1039/c5gc00021a,Halides,1
CsInTe2,mp-1199743,True,False,1.3522,-0.9334211846875,2.16,10.1039/c1dt11836f,Chalcogenides,1
MnBr2,mp-28306,True,False,1.5962,-1.169033052643679,3.76,10.1039/c7cp05732f,Halides,1
Sr2LaGaO5,mp-1218758,False,True,3.596399999999999,-3.110187525277778,4.6,10.1039/c9tc04938j,Oxides,1
K3Cr2(PS4)3,mp-559251,False,False,1.378099999999999,-0.938507960658927,1.35,10.1002/1521-3749(200207)628:7<1511::AID-ZAAC1511>3.0.CO;2-P,Chalcogenides,1
TlGaSe2,mp-17254,True,False,1.3543999999999992,-0.6917579945312471,1.88,10.1016/j.physb.2003.09.266,Chalcogenides,1
LaBr3,mp-23263,True,False,2.9266,-2.423042803749999,3.75,10.1016/j.tsf.2008.03.020,Halides,1
InSb2Se4Br,mp-570321,False,False,1.1103,-0.7087397195052071,1.35,10.1016/j.jallcom.2006.10.056,Antimonides,3
LiInP2O7,mp-8491,True,False,3.9726,-2.6025876490259723,4.6,10.1016/j.optmat.2007.02.009,Oxides,2
CaMn2O4,mp-18844,True,False,2.0103,-2.447901434051724,1.67,10.1007/s10854-016-6087-8,Oxides,1
MgCr2O4,mp-19202,True,False,3.139,-2.628915883571424,0.693,10.1007/s10973-013-3531-3,Oxides,1
ZrSiO4,mp-4820,True,False,4.1495,-3.55875977333333,4.0,10.1039/c8pp00315g,Silicides,2
NaBi(WO4)2,mp-1220818,False,True,3.4038,-2.078135593448275,3.02,10.1016/j.optmat.2018.12.029,Oxides,1
K2ZrSi2O7,mp-559489,True,False,4.524699999999999,-3.186144017249999,4.95,10.1039/c6tc01449f,Silicides,2
NaLaTi2O6,mp-1220785,False,True,2.0801,-3.436417339804598,3.28,10.1007/s10854-015-3809-2,Oxides,1
BaO,mp-1342,True,False,2.0906,-2.8236427075,3.56,10.1016/j.optmat.2015.10.007,Oxides,1
CsPbI2Br,mp-2646981,False,True,1.4384,-1.352837310931034,1.91,10.1039/c7ta09122b,Halides,1
Cs3Bi2I9,mp-669458,True,False,2.3796,-1.213807587426111,2.0,10.1016/j.physb.2017.08.079,Halides,1
Cu2WSe4,mp-1025340,True,True,1.275699999999999,-0.400722725178574,1.64,10.1007/s10854-017-7970-7,Chalcogenides,1
Ca4Bi6O13,mp-757343,False,True,1.7193,-2.238789148478262,2.76,10.1007/s10853-005-1223-5,Oxides,1
Ga2O3,mp-886,True,False,2.007799999999999,-2.268996668999999,4.8,10.1016/j.cej.2013.09.088,Oxides,1
BaMnF4,mp-556850,False,False,2.3195,-3.560061476321838,1.0,10.1039/c5cp05864c,Halides,1
BaFe12O19,mp-554293,False,False,1.2425,-1.73529611109375,2.0,10.1039/c4nr05657d,Oxides,1
Sr2P7Br,mp-1195664,True,False,2.133099999999999,-0.7776184609999971,2.1,10.1002/zaac.201500140,Halides,2
Ba8Sn4S15,mp-1195594,True,False,2.0554,-1.731574464629628,2.31,10.7567/JJAPS.39S1.279,Chalcogenides,1
LiNb3O8,mp-3368,True,False,3.017,-2.980640704027777,3.9,10.1039/c3ra45520c,Oxides,1
LiGaS2,mp-3647,True,False,2.9608,-1.276394505208333,3.635,10.1016/j.optmat.2014.12.046,Chalcogenides,1
RbAg5(PS4)2,mp-1195102,False,False,1.162499999999999,-0.564735202351189,2.4,10.1002/anie.201602317,Chalcogenides,1
Ag8GeS6,mp-9770,True,False,0.6102000000000001,-0.326871861055552,1.45,10.1039/c6ta00398b,Chalcogenides,1
Ba8Ti3Nb4O24,mp-1228557,False,True,1.9693,-3.337986506923076,3.4,10.1016/j.ceramint.2012.06.067,Oxides,1
SbI3,mp-23281,True,False,2.1446,-0.643452289999999,2.3550000000000004,10.1039/c8qi00902c,Antimonides,2
Tb2O3,mp-1056,True,False,3.9006,-3.9821810734166654,0.95,10.1007/s10948-016-3898-z,Oxides,1
ZnSiN2,mp-1020712,True,False,3.1944,-0.994469309375,3.875,10.1039/d0tc01578d,Silicides,2
BeTe,mp-252,True,False,2.017299999999999,-0.570361940833332,2.895,10.1016/j.physb.2011.09.127,Chalcogenides,1
CsInSe2,mp-1200720,True,False,1.630199999999999,-1.156074467656246,2.81,10.1039/c1dt11836f,Chalcogenides,1
Ba5Nb4O15,mp-3563,True,False,2.5999,-3.271554933958334,3.81,10.1016/j.jallcom.2015.05.052,Oxides,1
TlPb2Br5,mp-1208111,False,True,2.9509,-1.251198734479167,2.92,10.1016/j.optmat.2013.09.004,Halides,1
TlAsS2,mp-4988,True,False,1.812399999999999,-0.510845625833333,1.3,10.1016/S0040-6090(02)00500-X,Arsenides,2
KBaAsSe3,mp-1191826,True,False,1.6299,-1.339824936963542,2.26,10.1021/cg5001446,Arsenides,2
NaMgAs,mp-5962,True,False,0.9547999999999992,-0.7864752741666661,0.97,10.1039/c6tc00461j,Arsenides,1
HfS3,mp-9922,True,False,1.1326,-1.373083094609374,2.2,10.1039/d0ra07160a,Chalcogenides,1
Ba2YTaO6,mp-12385,True,False,3.463899999999999,-3.5674410347333323,3.5,10.1016/j.physb.2014.07.036,Oxides,1
